MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000004473027001,TSH Gen.2 Elecsys F2 ML
000000011967126529,<HBe> Elecsys R1
000000007230249001,<TSHR> E2G 300 R1
000000009013229529,sBCMA Elecsys Cal 1
000000007304951001,POSTN V2 Elecsys MK F2
000000008014094001,<HAV> Gen2.2 Elecsys MK F6
000000010653795529,<TPO> Gen3 E2G 300 R2
000000009487905529,IFNg Elecsys R2 (200er)
000000009880968529,IgE Gen2 Elecsys Cal 2
000000009397485529,Cort Gen3 Elecsys Cal 2 Urin
000000006219535001,VIT.D (25-OH) total Elecsys F5 MK
000000006426026001,E2 Gen2 Elecsys R2 V3
000000010525983529,TBK Gen2 E2G 100 R1
000000006915906001,Syphilis Elecsys MK F4
000000009926836529,NFL Elecsys MK F6
000000012015641001,TROPONIN-T Gen3 Elecsys F9 IKP
000000009635017529,TNT Gen6 E2G 100 R1
000000009903810529,Lyme IgG Elecsys Ctr 2
000000008363960529,EBV VCA IgG Elecsys Cal 2
000000010219432529,TnI hs Elecsys MK F5
000000005054168001,<CMV> IGM Elecsys F2 MK
000000007216483001,<TPO> E2G 300 R1
000000007233086529,PAPP-A E2G 100 R1
000000008774455001,PSA Gen2.1 Elecsys R2 V2
000000009353275001,HTLV Elecsys R2 (200er) V2
000000005939496001,<CMV> IGG Avidity Elecsys Ctr 2
000000007360029001,tTau Elecsys R1
000000008160732001,PIVKA-II Elecsys Cal 2
000000005996716001,IGE Elecsys CalCheck F1
000000009203419001,Anti-SARS-CoV-2 E2G 300 R2
000000007187718001,Prog Gen3 Elecsys CalCheck F1
000000007234775001,HSV-1 IGG E2G 100 R2
000000007217188001,E2 Gen3 E2G 300 R1
000000005880106001,HBA1C TQ Gen3 F4 Stand
000000007218494529,TESTO Gen2 E2G 300 R2
000000009658238001,iIC cobas MS Level 4
000000007233655529,Syphilis E2G 300 R2
000000006518532001,CT Elecsys Cal 2
000000007217889001,LH E2G 300 R2
000000009025642001,<HEV> IgG Elecsys CalCheck F3
000000009607498001,Cort Gen3 Elecsys CalCheck F5 Urin
000000010158301967,ApoE4p PC Elecsys RUO bx int
000000009114653001,FT4 Gen4 Elecsys Cal 1
000000009604880001,iTDM-A Cobas MS LeadCal F6
000000007350490001,GDF-15 Elecsys CalCheck F2
000000007546556001,Chagas Elecsys R1 (200er)
000000008898324001,<TPO> Gen2 Elecsys R1
000000009609601001,FOLATE Gen3 E2G 100 R1 V2
000000009831037001,<HBs> Gen3 E2G 100 R1
000000007218192001,PTH E2G 100 R1
000000007235135529,OSTEOC E2G 100 R2
000000004711424001,TOXO IGM Elecsys R2
000000009810978529,iTDM-B Cobas MS LeadCal F0
000000009811010529,iTDM-B Cobas MS LeadCal F4
