MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000009820884529,<HBs> Gen3 E2G 300 R2 RT
000000010798297529,NFL E2G 100 R2 V2
000000005963354001,HGH Elecsys MK F2
000000003139913001,<HCV> Elecsys F4 ML
000000008324115529,Folate Gen3 Elecsys R2 V2
000000007231938001,TROPONIN-T Gen4 E2G 300 R1
000000007226268529,PC ISD-E Elecsys Level 1
000000008728186529,sTfR Gen2 Cal
000000003139743001,<HCV> Elecsys R1a Bi-Ag
000000006377181529,SA Coat-Bead Elecsys POSTN
000000010274549529,Abeta40 Elecsys Cal 1
000000007230621529,CORT Gen2 E2G 100 R2
000000012015676529,PTH Elecsys R2
000000004830237001,<TPO> GEN2 Elecsys MK F1
000000009606807529,Cort Gen3 Elecsys CalCheck F5 Speichel
000000012048272001,HCG+B Elecsys Hook Probe
000000011856260001,Elecsys Ferritin ML 3
000000011968700001,CK-MB Elecsys F5 IKP
000000008768307529,ASD Elecsys CalCheck  F2
000000012015790001,PTH Elecsys ML 5
000000006512275529,Cort Gen2 Elecsys Speichel Ctr 2
000000008379432001,HIV COMBI PT Elecsys Cal 1 Lyo
000000007551606529,Vit.D total Gen2 Elecsys MK F2
000000008955085529,PCT Gen2 Elecsys R1
000000012151952001,B-CL Elecsys ML 5
000000010660031529,<TPO> Gen3 Elecsys R2
000000011968408001,HBeAG Elecsys F6 ML
000000007360363001,tTau Elecsys MK F2
000000009609148529,FT3 Gen3 E2G 100 R1 V2
000000008012083529,<HAV> Gen2.2 Elecsys Ctr 1
000000009607463529,Cort Gen3 Elecsys CalCheck F2 Urin
000000008908087001,<TPO> Gen2 Elecsys Cal 2 V2
000000005898544001,CK-MB Gen4 Elecsys MK F3
000000009556028001,FSH Elecsys V-low V2
000000012214598001,Cortisol Elecsys F2 ML
000000009723935529,sTREM-1 E2G 100 R1
000000009353275529,HTLV Elecsys R2 (200er) V2
000000012040450001,HCG+B Elecsys F3 ML
000000011751875001,PSA Elecsys F2 ML
000000012237849001,<HAV> Elecsys F3 ML
000000010674393967,Ab42p cRUO Elecsys Cal 1
000000009607927529,<TG> E2G 100 R1 V2
000000010218967529,TnI hs E2G 100 R1
000000009308563529,PCT Gen2 Elecsys CalCheck F4
000000010674547967,Ab42p cRUO Elecsys Bulk MK F4
000000007304943001,POSTN V2 Elecsys MK F1
000000006518524529,CT Elecsys Cal 1
000000010218991529,TnI hs E2G 300 R2
000000004546032001,CEA Elecsys R1 (200er)
000000007551967529,Vit.D total Gen2 E2G 300 R1
000000009687955001,iTDM-C cobas MS LeadCal F8
000000008428816529,Biotin E1G R1
000000003045030001,<TG> Elecsys R2
000000004953932001,<HAV> Gen2.1 Elecsys Cal1
000000005901081001,HBSAG Gen2 quant Elecsys Diluent
000000007233370001,RUBELLA IGM E2G 100 R2
000000007235836529,TBK E2G 100 R2
000000012137178001,Elecsys CA 19-9 Calibr. high
000000011829459001,FSH Elecsys R1
000000008324115001,Folate Gen3 Elecsys R2 V2
000000009042873001,Vit.D total Gen3 Elecsys Cal 1
000000008951829001,PCT Gen2 Elecsys Cal 1
000000010081937001,DHEAS Gen2 Elecsys R2
000000007234317529,DIGIT Gen3 E2G 100 R1
000000004680332001,PROL Gen2.1 Elecsys R1
000000007240619529,"SA Coated Beads E2G 12,4 ml"
000000007234830001,HSV-2 IGG E2G 100 R1
000000005898609001,CK-MB Gen4 Elecsys CalCheck F1
000000003011470001,CYFRA Gen2 Elecsys Cal 1
000000004711467001,TOXO IGM Elecsys Ctr 1
000000007123442001,HBsAG Gen2 Quant Gen2 Elecsys Ctr 3
000000004877411001,PAPP-A Elecsys Cal 1
000000005099242001,IL6 Elecsys R2
000000011751735001,Elecsys CEA Calibrator 2
000000007229623529,ACTH E2G 100 R1
000000009085815529,PRO-C3 Elecsys Ctr 2
000000007234228001,DHEAS E2G 100 R1
000000008781907001,pTau Elecsys R2 V2
000000010151897967,GFAP Elecsys E2G 100 RUO bx int
000000011751689001,Elecsys CEA R2
000000011829416001,Testo Elecsys V-medium
000000009231137001,<HCV> Gen2 E2G 300 R1 V2
000000007547188001,Chagas Elecsys Ctr 2
000000007746822001,tTau Elecsys CalCheck F2
000000005100739001,IL6 Elecsys Cal 1
000000007229739001,AFP Gen1.1 E2G 300 R1
000000005101301001,IL-6 Elecsys CalCheck F4
000000007232730001,HBeAg E2G 300 R1
000000011784536001,Elecsys FC (40 ml)
000000007546513001,Chagas Elecsys R1
000000007029942001,<HBs> Gen2 Elecsys Cal 2
000000009959190001,Rubella IgG Elecsys Ctr 1 V2
000000009487425001,PC HIV Gen2 Elecsys Level 4 lq
000000008143757001,PIVKA-II Elecsys R1
000000006472915001,<TPO> Gen2 Elecsys Cal 1
000000007359926001,pTau E2G 100 R1
000000007232217529,<HBe> E2G 300 R1
000000006605656001,Cyclo Elecsys R1
000000009042784001,Vit.D total Gen3 E2G 300 R1
000000005054079001,<CMV> IGM Elecsys Ctr 1
000000005887682001,HE4 Elecsys CalCheck F3
000000007233965001,TOXO IGM E2G 100 R1
000000004546105001,TROPONIN-T Elecsys R1 (200er)
000000007235461001,SCC E2G 100 R1
000000011966570001,Elecsys CEA R1 2.Gen.
000000009721703001,HIV Duo Gen2 M2 E2G 300 R1
000000008133000001,IGFBP-3 Elecsys CalCheck F4
000000005089638001,TSH Gen2 Elecsys CalCheck F4
000000004989520001,<HBC> Gen2.1 Elecsys Ctr 1
000000005887119001,HIV COMBI PT Elecsys Cal 2
000000009069321001,SFLT1 Elecsys CalCheck F1
000000009607463001,Cort Gen3 Elecsys CalCheck F2 Urin
000000005094372001,TROPONIN I Elecsys CalCheck F2
000000008923108001,GDF-15 Elecsys R2 V2
000000005877601001,CA 19-9 Elecsys CalCheck F3
000000008227420001,PTH Gen2 Elecsys Cal 1
000000009698663967,Anti-AAVrh74 Elecsys E2G 100 RUO int
000000012214687001,CORT Elecsys V-medium
000000007234058529,<CCP> E2G 300 R1
000000005573963001,PTH (1-84) Elecsys CalCheck F2
000000005877652001,CEA Elecsys CalCheck F1
000000007233469001,ISD SE E2G 100 R2
000000009721657001,HIV Duo Gen2 M2 E2G 100 R1
000000011752235001,AFP Elecsys V-medium
000000006980112001,Abeta42 Elecsys CalCheck F5
000000009763945001,iTDM-A Cobas MS CalCheck F3 w/o value
000000010081902001,DHEAS Gen2 Elecsys R1
000000009363840001,<CMV> IGG Elecsys Ctr 3
000000007350520001,GDF-15 Elecsys CalCheck F5
000000008507384001,ASD E2G 100 R2
000000006270590001,T3 Elecsys CalCheck F2
000000004817117001,RUBELLA IGM Elecsys Ctr 1
000000009880488967,NfL Elecsys E2G 100 RUO int
000000006369782001,<HCV> Gen2 Elecsys Cal 1
000000004679750001,RUBELLA IGM Elecsys Cal 1
000000008965625001,T4 Gen2 Elecsys R2 V2
000000007231415001,TG Gen2 E2G 300 R1
000000008901538001,PC THYRO AB G2 Elecsys Level 1
000000007232934001,HTLV E2G 300 R2
000000004680197001,TOXO IGM Elecsys Cal 1
000000003045218001,anti TG Elecsys V-high
000000006915744001,Syphilis Elecsys Cal 2
000000011968319001,Elecsys HBeAg Ctr 1
000000010158280967,ApoE4p Elecsys E2G 100 RUO bx int
000000010304804001,pT217p Elecsys Ctr 3
000000007217536529,FSH E2G 300 R2
000000005089719001,TROP-T Gen4 Elecsys CalCheck F1
000000009720294529,iSV Cobas MS Ctr 1 w/o value
000000007325339001,AMH E2G 100 R1
000000007225962001,ISD SE Elecsys R2
000000009028633001,T4 Gen2 Elecsys R1 V2
000000009810986001,iTDM-B Cobas MS LeadCal F1
000000005876575001,PC MM Elecsys Level 2
000000005094232001,PC TROPONIN Elecsys Ctr2
000000011963520001,<HBc>IgM Elecsys R1
000000009191259529,PRO-C3 Elecsys CalCheck F2
000000009051708001,B-CL Elecsys R2 V2
000000007232284529,CT E2G 100 R1
000000005868548001,TROPONIN I Elecsys R1 Gen2
000000008774617001,free PSA II E2G 300 R1 V2
000000009353283001,HTLV E2G 300 R2 V2
000000006219586001,VIT.D (25-OH) total Elecsys R2
000000011821300001,CA 72-4 Elecsys R1
000000006512224001,Cort Gen2 Elecsys Cal 2
000000011968297001,Elecsys HBeAg Cal 2 pos
000000007350481001,GDF-15 Elecsys CalCheck F1
000000009598626001,ApoE4 Elecsys Cal 2
000000007216947529,CA 72-4 E2G 300 R2
000000008356653001,EBV EBNA IgG Elecsys R1
000000007242166529,"HBsAG Gen2 Quant E2G Diluent 21,22 ml"
000000011829645001,FSH Elecsys V-medium
000000009541551529,PRO-C6 Elecsys R1
000000005094402001,TROPONIN I Elecsys CalCheck F4
000000008768340001,ASD Elecsys CalCheck F5
000000005022304001,<CCP> Elecsys Cal 2
000000009744886001,pT181p Elecsys Cal 1
000000004869389001,PC Maternal Care Elecsys Ctr 3
000000007660065001,HIV Duo M1 Elecsys Cal 1
000000005877679001,CEA Elecsys CalCheck F2
000000007230451529,CA 15-3 Gen2 E2G 100 R2
000000007374127001,<HBC> Gen2.2 Elecsys R0
000000004914392001,PROBNP Gen2 Elecsys R1
000000007217013001,CEA E2G 100 R2
000000007235194001,PLGF E2G 100 R1
000000007171927001,E2 Gen3 Elecsys R2
000000009604855529,iTDM-A Cobas MS LeadCal F3
000000008481199001,TSH E2G 300 R2 V2
000000007169701001,E2 Gen3 Elecsys Cal 2
000000007234503529,GDF-15 E2G 100 R2
000000009025421001,<HEV> IgG Elecsys Cal 1
000000009085912001,PRO-C3 Elecsys R1
000000008951837001,PCT Gen2 Elecsys Cal 2
000000006526560001,TG Gen2 Elecsys R2
000000005034078001,<CMV> IGG Elecsys R1
000000009495282001,Dengue IgG Elecsys Cal 2
000000005090342001,PCT Elecsys Cal2
000000005547024001,FER Elecsys CalCheck F5
000000012002795001,Elecsys HIV Ag Cal 1
000000011753401001,Elecsys T-uptake R1
000000004850840001,HBQ Elecsys CQ
000000009556044529,FSH Elecsys V-high V2
000000008160627001,PIVKA-II Elecsys MK F1
000000006336060529,<CMV> IGG Elecsys Ctr 0
000000008772436529,ASD Elecsys MK F5
000000011756141001,LH Elecsys F6 ML
000000009025677529,<HEV> IgG Elecsys CalCheck F4
000000012015765001,PTH Elecsys ML 2
000000008495840529,<HBs> Gen2 Elecsys R2 RT (200er) V2
000000009556338529,FSH Elecsys ML F2 V2
000000007469578001,IGF-1 Elecsys MK F3
000000009085025529,PRO-C3 Elecsys MK F3
000000005990700001,HSV-1 IGG Elecsys MK F2
000000006887481529,AMH Elecsys CalCheck F1
000000012237857001,<HAV> Elecsys F4 ML
000000006979882529,Abeta42 Elecsys Cal 1
000000010642912529,Lyme IgG Elecsys MK F5
000000009396128529,Cort Gen3 Elecsys MK F3 Speichel
000000009820825529,<HBs> Gen3 Elecsys R2 RT
000000009449388001,PCT Gen2 Elecsys IKP F12
000000009820892529,<HBs> Gen3 E2G 300 R2
000000007230320529,<TSHR> E2G 300 PT1 Loesung
000000009903895529,Lyme IgG E2G 100 R1
000000005991315001,HSV-2 IGG Elecsys MK F6
000000011968661001,CK-MB Elecsys F1 IKP
000000011988093001,TROPONIN-T Gen3 Elecsys F4 IKP
000000012048434001,OSTEOC Elecsys ML F5
000000006219497001,VIT.D (25-OH) total Elecsys F2 MK
000000005092183001,TROP-T HS Elecsys IKP F2
000000009684751001,PG I Elecsys MK F3
000000007232098001,VITAMIN D total E2G 300 PT1
000000007231539001,INSULIN E2G 300 R2
000000009396306529,Cort Gen3 Elecsys Cal 1 Speichel
000000004877420529,PAPP-A Elecsys Cal 2
000000009035583529,<HEV> IgM Elecsys R2
000000004877489001,PAPP-A Elecsys F 3 MK
000000006979955529,Abeta42 Elecsys Ctr 2
000000009028668529,T4 Gen2 E2G 300 R1 V2
000000009723846529,sTREM-1 Elecsys MK F3
000000005991277001,HSV-2 IGG Elecsys MK F2
000000008949514529,AFP-L3 Elecsys CalCheck F1
000000005092302529,TROP-T Gen.5 Elecsys CalCheck F1
000000004462661529,PSA Gen2.1 Elecsys Cal 2
000000009874283001,CA 50 Elecsys MK F6
000000010554452529,Anti-AAVLK03 Elecsys Cal 1
000000011829530001,FSH Elecsys F1 ML
000000007734972001,CRP QC-Serum WR F3
000000011968254105,HBeAg Elecsys R1
000000009608214529,<TSHR> E2G 100 R1 V2
000000010318392529,Dengue IgM Elecsys MK F3
000000009014691529,sBCMA Elecsys Ctr 1
000000012132443529,CAL-FAS F1-w/o values
000000009500103529,PCT Gen2 Elecsys MK F7
000000004681649001,ACTH Elecsys F1 MK
000000004478363001,T3 Gen2 Elecsys F1 ML
000000004817311001,TG Gen2 Elecsys F6 ML
000000011866478001,Cyfra Elecsys F5 ML
000000009495444001,TNT Gen6 Elecsys MK F5
000000008852090529,PAPP-A Elecsys R2 V2
000000007231695529,NSE E2G 100 R2
000000008710643001,EBV EBNA IgG Elecsys MK F5
000000009556346529,FSH Elecsys ML F3 V2
000000009021663001,<HEV> IgG Elecsys MK F1
000000006980341001,GDF-15 Elecsys MK F6
000000007227698001,ISD-E Elecsys MK F6
000000007469586001,IGF-1 Elecsys MK F4
000000010435607529,<TG> Elecsys MK F2 V2
000000010599529529,Lyme IgM E2G 100 R1
000000005887496529,HE4 Elecsys R1
000000012137461001,HIV-COMBI Elecsys F4 ML
000000008363803001,EBV VCA IgG Elecsys R1
000000009808019529,PCT Gen2 E2G 100 R2
000000007240546001,"SA Coated Beads E2G 5,8 ml"
000000009699767529,Anti-AAVrh74 Elecsys Ctr 2
000000010318422001,Dengue IgM Elecsys MK F6
000000009751963529,pT181p E2G 100 R2
000000009056190529,<TPO> Gen2 Elecsys CalCheck F3
000000008710589001,EBV EBNA IgG Elecsys MK F2
000000009308571529,PCT Gen2 Elecsys CalCheck F5
000000007216742529,CA 125 Gen2 E2G 100 R2
000000009069593529,PLGF Elecsys CalCheck F1
000000009014705529,sBCMA Elecsys Ctr 2
000000010165880529,cMyBP-C Elecsys Cal 1
000000005160421001,SFLT1 Elecsys F6 MK
000000009721924529,HIV Duo Gen2 M1 Elecsys Cal 2
000000010674610967,Ab42p cRUO Elecsys MVR R1
000000008143820529,PIVKA-II E2G 300 R1
000000006369774529,<HCV> Gen2 Elecsys R2
000000009744720529,pT181p Elecsys CalCheck F5
000000005991170529,HSV-2 IGG Elecsys R1
000000009351671529,SARS-CoV-2 Ag Elecsys R1 (200er)
000000004877462529,PAPP-A Elecsys MK F2
000000007734956001,CRP QC-Serum HS F5
000000009881140529,IgE Gen2 Elecsys MK F3
000000009123083529,FT3 Gen3 Elecsys R1 V2
000000007360045529,tTau E2G 100 R1
000000007967365529,<p53> Elecsys Ctr 2
000000005448565001,TRIG GB Mod PD F2a 11877798 Lyo
000000009959122529,Rubella IgG Elecsys Cal 1 V2
000000005090547001,PCT Elecsys MK F6
000000012205475001,Insulin Elecsys F5 ML
000000008901538529,PC THYRO AB G2 Elecsys Level 1
000000007551703529,Vit.D total Gen2 Elecsys PT2
000000012002779001,Elecsys HIV Ag R1
000000009351795529,SARS-CoV-2 Ag Elecsys Cal 2
000000009363840529,<CMV> IGG Elecsys Ctr 3
000000008709840529,EBV EBNA IgG Elecsys Ctr 1
000000006219519001,VIT.D (25-OH) total Elecsys F3 MK
000000010285958529,pT217p Elecsys Ctr 1
000000009398309529,Cort Gen3 Elecsys MK F3 Serum
000000005090270529,PCT Elecsys R1
000000010675373967,YKL 40 cRUO Elecsys Bulk MK F4
000000007110294001,SCC Elecsys MK F5
000000008356700529,EBV EBNA IgG E2G 300 R2
000000009495401001,TNT Gen6 Elecsys MK F1
000000005898447529,CK-MB Gen4 Elecsys R1
000000008728135529,sTfR IKP F2
000000009487395529,PC HIV Gen2 Elecsys Level 1 lq
000000007110243001,SCC Elecsys MK F1
000000009843272529,NFL E2G 100 R1
000000008160724529,PIVKA-II Elecsys Cal 1
000000008774463001,PSA Elecsys R1 (200er) V2
000000011829564001,FSH Elecsys F4 ML
000000008014485529,<HAV> Gen2.2 E2G 100 R1
000000006741231529,ISD Elecsys CalCheck F5
000000010119601001,TP FT MPR3 F2 124281 Leerwert
000000007358423529,pTau Elecsys Cal 2
000000008014035001,<HAV> Gen2.2 Elecsys MK F3
000000009811001529,iTDM-B Cobas MS LeadCal F3
000000007469420529,IGF-1 Elecsys CalCheck F4
000000003011445001,Digoxin Elecsys ML5
000000008395276529,IGFBP-3 Elecsys Hook Probe
000000007110260001,SCC Elecsys MK F3
000000009289992001,SARS-CoV2-S Elecsys MK F3
000000010674172967,NPTX 2 cRUO Elecsys Bulk MK F3
000000007232233529,<HBe> E2G 300 R2
000000008331359529,HCV Duo Elecsys Bulk Ctr 1
000000008329028529,HCV Duo M1 Elecsys Cal 1
000000009831045001,<HBs> Gen3 E2G 100 R2 RT
000000008303339529,PROG Elecsys Diluent 50 ml (keine Verw.)
000000009922636529,Cort Gen3 E2G 100 R2
000000003139522001,Precinorm PUC F-OSW.
000000008497974529,TROP-T HS Elecsys R2 (200er) V2
000000005383897529,PCU Gen2 Elecsys L2 F-oSw
000000009556036001,FSH Elecsys V-medium V2
000000009128972529,Vit.D total Gen3 Elecsys MK F4
000000005939330001,CA 125 Elecsys CalCheck F5
000000007356846001,ISD-E Elecsys CalCheck F3 - no Launch
000000006526144529,TG Gen2 Elecsys CalCheck F1
000000008714029001,EBV VCA IgG Elecsys MK F1
000000008120579529,B-CL Elecsys CalCheck F2
000000008955204529,PCT Gen2 Elecsys Ctr 1
000000009758399529,Tacro E2G 100 R1
000000008768285529,ASD Elecsys CalCheck  F1
000000010583703001,iTDM-A MPA cobas MS LeadCal F7 w/o value
000000009759026529,Dengue IgG E2G 100 R2
000000007216726529,CA 125 Gen2 E2G 100 R1
000000009843728529,NFL Elecsys MK F1
000000009495410529,TNT Gen6 Elecsys MK F2
000000009556338001,FSH Elecsys ML F2 V2
000000009120629529,HSV-1 IGG E2G 100 R2 V2
000000009005340529,proGRP Elecsys R2 V2
000000003370623001,SHBG Elecsys F3 ML
000000009684654001,PG I Elecsys Bulk MK F1
000000007936737001,Parvo B19 Elecsys Cal 1
000000007240627001,"SA Coated Beads E2G 13,2 ml"
000000009351566001,SARS-CoV-2 Ag Elecsys MK F4
000000004873408001,FOLATE Gen3 Elecsys F2 MK
000000011988107001,TROPONIN-T Gen3 Elecsys F5 IKP
000000009013148529,sBCMA E2G 100 R2
000000007394004529,<HBC> Gen2.2 Elecsys R2 (200er)
000000011968629529,T4 Gen2 Elecsys R1
000000007955782001,FT4 Gen3 Elecsys R1
000000008160562001,PC HCC Elecsys Level 2
000000005343712001,TESTO Gen2.1 Elecsys Cal 2
000000003140466001,S100 Elecsys Cal 2
000000009763929001,iTDM-A Cobas MS CalCheck F1 w/o value
000000009669868529,iISD cobas MS Lead Cal F0
000000005898633529,CK-MB Gen4 Elecsys CalCheck F4
000000004989503001,<HBC> Gen2.1 Elecsys Cal 1
000000012137135001,Elecsys CA 19-9 R2
000000004849655529,HBSAG Gen2 Elecsys Cal 1
000000007218044529,Prog Gen3 E2G 100 R2
000000008012008001,<HAV> Gen2.2 Elecsys Cal 2
000000009219552001,Anti-SARS-CoV-2 Elecsys Ctr 2
000000004680154001,RUBELLA IGG Elecsys Cal 2
000000009051244001,<TG> Elecsys  R2 V2
000000004954564001,RUBELLA IGG Elecsys CalCheck F3 medium
000000008428891001,Biotin E1G R2
000000004954599001,RUBELLA IGG Elecsys CalCheck F5
000000004629710001,CAL-fas Bottle - wo. values for OEM
000000005537436001,PTH Elecsys CalCheck F5
000000009639543001,iTDM-B cobas MS Cal 2 w/o value
000000004568451001,B12 Gen2 Elecsys Cal 2
000000011831992001,Elecsys Digoxin Calibr. high
000000009344004001,<HBc> G2 quant Elecsys Cal 2
000000007216572529,B12 E2G 300 R1 V2
000000004854934001,<HAV> Gen2 Elecsys Ctr 2
000000009607676001,TESTO Gen2 E2G 100 R1 V2
000000006979831001,Abeta42 Elecsys R2
000000006343546001,OSTEOC Elecsys CalCheck F4
000000007469527001,IGF-1 Elecsys Cal 2
000000008349886529,IGFBP-7 Elecsys Cal 2
000000004990277001,<TSHR> Elecsys PT 2 empty
000000007900899529,Active B12 E2G 100 R1
000000006980104001,Abeta42 Elecsys CalCheck F4
000000009108971001,FT4 Gen4 E2G 300 R1
000000007216653529,B12 E2G 300 PT1
000000003665810001,C-PEPTIDE Elecsys Cal 2
000000006518699001,CT Elecsys CalCheck F4
000000007234171529,Chagas E2G 300 R2
000000007229712529,AFP Gen1.1 E2G 100 R1
000000009604839001,iTDM-A Cobas MS LeadCal F1
000000007217609001,FT3 Gen3 E2G 300 R1
000000010583711001,iTDM-A MPA cobas MS LeadCal F8 w/o value
000000010217561967,Diluent MultiAssay E2G RUO bx
000000007304897001,POSTN V2 Elecsys Ctr 2
000000007217625529,FT3 Gen3 E2G 300 R2
000000006526179001,TG Gen2 Elecsys CalCheck F3
000000006915817001,Syphilis Elecsys Ctr 2
000000012151839001,B-CL Elecsys R2
000000004680146001,RUBELLA IGG Elecsys Cal 1
000000011752154001,AFP Elecsys R2
000000008356688001,EBV EBNA IgG Elecsys R2
000000009843426001,NFL Elecsys Ctr 2
000000011968254001,Elecsys HBeAg R1
000000003575632001,LH Gen2 Elecsys Cal 1
000000009031910001,<HEV> IgM Elecsys Ctr 1
000000004914465529,PROBNP Gen2 Elecsys Cal 2
000000006440444001,FT4 Gen2 Elecsys Cal 2
000000003333175001,CRPLX HIT R1 Bulk (2 L)
000000009051201001,CA 72-4 Elecsys R2 V2
000000009069356001,SFLT1 Elecsys CalCheck F4
000000005898455001,CK-MB Gen4 Elecsys R2
000000006484255001,Toxo IGG Avidity Elecsys Ctr 2
000000008923183001,IL6 E2G 100 R2 V2
000000007218044001,Prog Gen3 E2G 100 R2
000000007234775529,HSV-1 IGG E2G 100 R2
000000009607455001,Cort Gen3 Elecsys CalCheck F1  Urin
000000004366395001,FER Gen2 Elecsys R1
000000007235399001,S100 E2G 100 R2
000000009050841001,FT3 Gen3 Elecsys R2 V2
000000008428816001,Biotin E1G R1
000000004869184001,FREE HCGB Elecsys Cal 1
000000008133018001,IGFBP-3 Elecsys CalCheck F5
000000007234066001,<CCP> E2G 100 R2
000000010281669001,pT217p E2G 100 R1
000000009050850001,FT3 Gen3 E2G 300 R2 V2
000000009763953001,iTDM-A Cobas MS CalCheck F4 w/o value
000000007218052001,Prog Gen3 E2G 300 R2
000000005990785001,HSV-1/2 IGG Elecsys Ctr 1
000000003665801001,C-PEPTIDE Elecsys Cal 1
000000009606289001,ApoE4 E2G 100 R1
000000008785775001,HIV Duo M1 E2G 300 R2 V2
000000011967169001,<HBe> Elecsys Cal 1 neg
000000004680316001,TOXO IGG Elecsys Cal 2
000000007217170529,E2 Gen3 E2G 100 R1
000000007234597001,HCG STAT II E2G 100 R2
000000007234074529,<CCP> E2G 300 R2
000000007218583529,TSH E2G 300 R2
000000007234953001,IGE Gen1.1 E2G 100 R2
000000004954670001,TOXO IGG Elecsys CalCheck F5
000000009495142001,Dengue IgG Elecsys Ctr 2
000000007230362001,<TSHR> E2G 300 PT2 empty
000000004680359001,PROL Gen2.1 Elecsys R2
000000008683336529,Streptavidin Assay Elecsys R2
000000007232845001,HE4 E2G 100 R2
000000009031928001,<HEV> IgM Elecsys Ctr 2
000000009721720001,HIV Duo Gen2 M2 E2G 300 R2
000000004954661001,TOXO IGG Elecsys F4 CalCheck high
000000011752618001,FT3 Elecsys V-low
000000009025685001,<HEV> IgG Elecsys CalCheck F5
000000009487107001,Syphilis Elecsys Ctr 1 lq
000000007305206529,POSTN V2 Elecsys CalCheck F2
000000006980180001,GDF-15 Elecsys R1
000000009088440967,Pro-C3 PC Elecsys RUO int
000000008356700001,EBV EBNA IgG E2G 300 R2
000000004995139001,<TSHR> Elecsys PT Buffer
000000012237598001,Elecsys Anti-HAV-IgM Ctr 2
000000008965633001,T4 Gen2 E2G 300 R2 V2
000000007325339529,AMH E2G 100 R1
000000005846587001,PC Varia Elecsys Level 2
000000007216912001,CA 72-4 E2G 300 R1
000000009607544001,TSH E2G 100 R1 V2
000000007230621001,CORT Gen2 E2G 100 R2
000000007029926001,<HBs> Gen2 Elecsys Cal 1
000000007232306529,CT E2G 100 R2
000000005939313001,CA 125 Elecsys CalCheck F3
000000010228920967,Abeta42P Elecsys CS RUO bx
000000006369081001,FOLATE RBC Elecsys CalCheck F3
000000007235305529,proGRP E2G 100 R2
000000007231865001,PROL Gen2.1 E2G 100 R2
000000009831061001,<HBs> Gen3 E2G 100 R2
000000009669922001,iISD cobas MS Lead Cal F5
000000009751955001,pT181p E2G 100 R1
000000007217781001,HCG+B Gen2 E2G 100 R2
000000008851310001,Abeta42 Gen2 Elecsys Cal 2
000000008132992001,IGFBP-3 Elecsys CalCheck F3
000000004989511001,<HBC> Gen2.1 Elecsys Cal 2
000000007546564001,Chagas Elecsys R2 (200er)
000000005160235001,SFLT1 Elecsys R1
000000004817125001,RUBELLA IGM Elecsys Ctr 2
000000008782083001,Abeta42 Gen2 E2G 100 R2
000000007218028001,Prog Gen3 E2G 100 R1
000000008495807001,<HBs> Gen2 E2G 300 R2 V2
000000010788007001,PNU Reflo 2 ml
000000007233027529,P1NP E2G 100 R2
000000005573980001,PTH (1-84) Elecsys CalCheck F4
000000008497940001,TROP-T HS Elecsys R2 V2
000000010158131967,NfL CS Elecsys RUO bx int
000000007233388529,RUBELLA IGM E2G 300 R2
000000007234481001,GDF-15 E2G 100 R1
000000009848860001,iISD cobas MS CalCheck F2 w/o value
000000009669914001,iISD cobas MS Lead Cal F4
000000009486526001,HBsAg Elecsys Release Control
000000011967177529,<HBe> Elecsys Cal 2 pos
000000007231580529,MYOGLOB Gen 2 E2G 100 R1
000000007233086001,PAPP-A E2G 100 R1
000000009556443001,LH Gen2 Elecsys Cal 1 V2
000000007233884001,TOXO IGG E2G 300 R1
000000003370577001,SHBG Elecsys R2
000000007218036001,Prog Gen3 E2G 300 R1
000000008762236001,HBSAG Gen2 Elecsys R2 (200er) V2
000000007230150001,<HCV> Gen2 E2G 300 R1
000000007231326529,HIV Duo M2 E2G 300 R1
000000009848215001,iSV Cobas MS CalCheck F2 w/o value
000000005860199001,LH Elecsys CalCheck F2
000000007231415529,TG Gen2 E2G 300 R1
000000007234244529,DHEAS E2G 100 R2
000000007250924529,"Ku-Matrix E2G Dil 12,32 ml"
000000007551509001,PC Vit.D total Gen2 Elecsys Level 1
000000007230532001,CK-MB Gen4 E2G 100 R2
000000007234414529,DIG E2G 100 R2
000000009085955529,PRO-C3 E2G 100 R2
000000007229640001,ACTH E2G 100 R2
000000005092086001,TROP-T HS Elecsys R2 (200er)
000000004954556001,RUBELLA IGG Elecsys CalCheck F2 low
000000009128948529,Vit.D total Gen3 Elecsys MK F3
000000007358571529,pTau Elecsys MK F5
000000009021671529,<HEV> IgG Elecsys MK F2
000000011837087001,Freies PSA Elecsys F4 ML
000000007231059001,HBSAG Gen2 E2G 100 R1
000000009721703529,HIV Duo Gen2 M2 E2G 300 R1
000000012137275001,CA 19-9 Elecsys F7 ML
000000007152841529,PC HTLV Elecsys Level 0
000000009487123529,Syphilis Elecsys Release Control lq
000000008289824001,<HBs> E2G 300 R2 RT
000000009449345529,PCT Gen2 Elecsys IKP F9
000000008431213529,Biotin MK F2
000000009831045529,<HBs> Gen3 E2G 100 R2 RT
000000007218141001,PSA E2G 300 R2
000000007356862001,ISD-E Elecsys CalCheck F5 - no Launch
000000009557067529,LH Elecsys ML F6 V2
000000011939513001,TROP-T Gen3 Elecsys F4 ML
000000010274697529,Abeta40 Elecsys MK F3
000000010674695967,NPTX 2 cRUO E2G 100 R2
000000004711386001,TOXO IGG Elecsys F5 ML
000000008913412529,<TPO> Gen2 Elecsys F2 ML V2
000000008774480529,PSA Elecsys R2 (200er) V2
000000008782059529,Abeta42 Gen2 Elecsys R1
